"geografie","geslacht","migratieachtergrond","huishouden","bins","opleiding_ouders","uitkomst","mean","parents_income","N","type","uitkomst_NL","subgroep","sample","sd"
"Nederland","Vrouwen","Totaal","Eenoudergezin","Totaal","wo","c00_infant_mortality",0.418176749372735,82.8720677491976,3587,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Totaal","Eenoudergezin","Totaal","hbo","c00_infant_mortality",0.353811514956578,61.9717096238882,6218,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Totaal","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.721865015186778,39.710748364897,50702,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Totaal","Tweeoudergezin","Totaal","wo","c00_infant_mortality",0.453096716159339,128.16970710524,90047,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Totaal","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.483303774401355,99.7476476027021,164079,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Totaal","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.650288667090013,75.2726224850055,412586,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Zonder migratieachtergrond","Totaal","Totaal","wo","c00_infant_mortality",0.471268521864836,130.014880344981,69175,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Zonder migratieachtergrond","Totaal","Totaal","hbo","c00_infant_mortality",0.48143906513287,100.532077606559,137089,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Zonder migratieachtergrond","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.651283896054953,77.3581912231477,291885,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Zonder migratieachtergrond","Eenoudergezin","Totaal","wo","c00_infant_mortality",0.649026460309536,90.8874733151513,2003,"parents_edu","Zuigelingensterfte",NA,NA,NA
